36830	5195	en	Evgueny Kovtun	Russian Avant-Garde	-	-	-	-	-	Parkstone International	9781783103812	-	calibre (0.8.50) [http://calibre-ebook.com]	2014-03-18
39978	4179	en	Wood, Philip	Resilient Thinking	Text	-	-	All rights reserved	-	IT Governance Publishing	9781849284356	135	-	-
213075	15998	en	McWilliams, Nancy	Psychoanalytic Diagnosis, Second Edition	-	-	-	-	-	Guilford Press	9781609184988	-	calibre (0.9.20) [http://calibre-ebook.com]	2011-08-31T23:00:00+00:00
29332	5197	en	Jean Lahor	Art Nouveau	-	-	-	-	-	Parkstone International	a1b5d856-70dd-46d9-ac96-330407e32bd7	-	calibre (0.9.10) [http://calibre-ebook.com]	2014-03-12
124770	13197	en	Jaffe, Steven H., Lautin, Jessica, Museum of the City of New York	Capital of Capital	-	HIS036080	-	2014 Museum of the City of New York	-	Columbia University Press	jaff16910	-	Steven H. Jaffe and Jessica Lautin	2014-05-06
17074	2501	en	Karl Knopf	Resistance Band Workbook	Text	-	URN:ISBN:978-1-6124-3210-6	All rights reserved	-	Ulysses Press	URN:ISBN:978-1-6124-3210-6	119 Pages	-	-
187399	14575	en	Owen Wister	Virginian (Barnes & Noble Classics Series)	-	-	-	NONE	-	Barnes&Noble	9781411433434	-	-	NONE
96639	11095	en	Malcolm Gladwell	David and Goliath: Underdogs, Misfits, and the Art of Battling Giants	-	Psychology	-	-	-	Hachette Digital, Inc.	9780316204385	-	calibre (1.5.0) [http://calibre-ebook.com]	2013-10-01T18:20:56.157328+00:00
138523	14468	en	Smil, Vaclav	Making the Modern World	-	-	-	-	-	Wiley	9781118697962	-	-	2013-09-11
45661	5331	en	Kim, Peter	The Hacker Playbook: Practical Guide To Penetration Testing	-	-	-	-	-	-	B00J5S9OPU	-	calibre (1.30.0) [http://calibre-ebook.com]	2014-03-19T23:00:00+00:00
13014	2530	en	Hans-Hermann Hoppe	The Private Production of Defense	Non-fiction	-	-	All Rights Reserved	-	Ludwig von Mises Institute	URN:ISBN:978-1-93355-058-9	-	Amnet Systems	2009
268394	19085	en	Jay Cassell	The Ultimate Prepper's Guide	-	-	-	All rights reserved	-	Skyhorse Publishing	9781629141305	-	-	2014-01-01
169410	13048	en	Callinicos, Alex	Deciphering Capital	Text	-	URN:ISBN:978-1-90902-670-4	All rights reserved	-	Bookmarks Publications	urn:uuid:f5eed2ce-bb33-4aba-b2a5-57a6dee81215	336 pages	-	-
117218	15397	en	George Steiner	Grammars of Creation	-	-	URN:ISBN:0000000000	All rights are reserved.	-	Open Road Integrated Media	-	344 pages	-	-
75582	8809	en	Edmund Conway	50 Economics Ideas You Really Need to Know	Text	-	-	All rights reserved	-	Quercus	9781623651824	208 Pages	-	2013
107570	11241	en	Eric Schmidt	How Google Works	-	Business & Economics / Leadership	-	Copyright © 2014 by Google, Inc.	-	Grand Central Publishing	9781455582334	-	-	2014-09-23
133675	11175	en	Martin Gilbert	The Somme	-	-	-	Copyright © 2006 by Martin Gilbert	-	Henry Holt and Co.	978-1-4299-6688-7	-	Martin Gilbert	2006
176950	14506	en	Alice Roberts	The Incredible Human Journey	-	-	-	-	-	Bloomsbury Publishing	9781408810910	-	-	2000-01-02
2722	1029	en	Robert Mankoff	The New Yorker Book of Golf Cartoons	-	-	-	-	-	Wiley	URN:9781118362280	-	-	2012-04-17
114745	13455	en	Paul Sabin	The Bet	Text	-	-	All rights reserved	-	Yale University Press	9780300198881	320 Pages	-	2013
452209	20110	en	Drogus, Carol Ann	Introducing Comparative Politics: Concepts and Cases in Context	-	-	-	-	-	SAGE Publications	9781483305127	-	calibre (0.9.42) [http://calibre-ebook.com]	2011-07-21T00:00:00+00:00
40859	5836	en	Levy, Matthys	Engineering the City	-	-	-	All rights reserved	-	Chicago Review Press	9781613741658	-	-	2000
62210	9898	en	Caplan, David	Rhyme's Challenge	-	-	-	All rights reserved	-	Oxford University Press, USA	9780195337136	192 Pages	-	2014
43034	5244	en	Roald Dahl	Boy: Tales of Childhood	-	Non-Fiction	-	-	-	Puffin Books	0140089179	-	calibre (1.24.0) [http://calibre-ebook.com]	1984-01-01T05:00:00+00:00
217618	16489	en	Macarthur, General Douglas	Reminiscences	Text	-	URN:ISBN:978-1-6125-1173-3	All rights reserved	-	Naval Institute Press	URN:ISBN:978-1-6125-1173-3	476 pages	-	-
89784	8382	en	Barbara Murphy	5 Steps to a 5 AP English Language, 2014-2015 Edition	Text	-	-	All rights reserved	-	McGraw-Hill Education	0071803602	273 Pages	-	2013
160532	12510	en	Storey, John	Cultural Theory and Popular Culture	-	-	-	Copyright © 1997, 2001, 2012, Taylor & Francis.	-	Taylor and Francis	9781317860440	-	-	-
119116	11097	en	Jay Barbree	Neil Armstrong: A Life of Flight	-	-	-	-	-	St. Martin's Press	9781466836341	-	calibre (1.41.0) [http://calibre-ebook.com]	2014-07-08T00:00:00+00:00
135513	19038	en	Goethe, Johann Wolfgang von, Atkins, Stuart, Wellbery, David E.	Faust I & II	Text	-	-	All Rights Reserved	-	Princeton University Press	9781400851676	357 pages	-	2014
69296	5928	en	Benny Lewis	Fluent in 3 Months	Text	-	-	All rights reserved	-	HarperCollins	9780062282705	256 pages	-	-
201448	12450	en	Egol MD, Kenneth	Handbook of Fractures	-	-	-	-	-	Lippincot (Wolters Kluwer Health)	B0053KY39Q	-	calibre (0.9.42) [http://calibre-ebook.com]	2012-03-30T00:00:00+00:00
118612	13476	en	Graham Johnson	Hack	-	-	-	Copyright © 2012 by Graham Johnson	-	Simon & Schuster UK 	9781849838795	-	-	-
132987	15450	en	Andrew J Bacevich	The New American Militarism: How Americans Are Seduced by War	-	-	-	-	-	-	0d8bb6b2-4f26-4ca5-b5f9-83fd04255a32	-	calibre (0.9.15) [http://calibre-ebook.com]	0101-01-01T00:00:00+00:00
132050	15076	en	Lopez, Ian Haney	Dog Whistle Politics	Text	-	-	All rights reserved	-	Oxford University Press, USA	9780199964277	304 Pages	-	2014
87313	11973	en	Bacevich, Andrew	Washington Rules	-	-	-	-	-	Metropolitan Books	f5dc7520-2f06-4719-a0cf-4d08700cce37	-	calibre (0.7.42) [http://calibre-ebook.com]	2010-08-02T15:00:00+00:00
81783	10310	en	Barnard, Neal, Castle, Shushana, Goodman, Amy-Lee	The Meaty Truth	-	-	-	Copyright © 2014 by Shushana Castle and Amy-Lee Goodman	-	Skyhorse Publishing	9781632200440	240 pages	-	2014-01-01
155878	15103	en	Jackall, Robert	Moral Mazes: The World of Corporate Managers	-	-	-	-	-	Oxford University Press, USA	B00FF7IG0Y	-	calibre (1.12.0) [http://calibre-ebook.com]	1988-03-03T05:00:00+00:00
22130	3355	en	Ralph Fletcher	How Writers Work	Text	-	-	All rights reserved	-	HarperCollins	9780062014900	-	-	-
5262	1224	en	Brian Jeffs	My Parents Open Carry: An Open Carry Adventure	-	-	-	-	-	White Feather Press	B00MG1WD5G	-	calibre (1.47.0) [http://calibre-ebook.com]	2014-08-04T05:00:00+00:00
93227	11168	en	Elizabeth H. Bradley	The American Health Care Paradox	Text	-	URN:ISBN:978-1-6103-9210-5	All rights reserved	-	PublicAffairs	URN:ISBN:978-1-6103-9210-5	271 Pages	-	-
56636	8309	en	Robert David Steele	The Open-Source Everything Manifesto: Transparency, Truth, and Trust (Manifesto Series)	-	-	-	Copyright &#x00A9; 2012 by Robert David Steele	-	North Atlantic Books	urn:uuid:b216869a-8eaf-4e25-886e-86149e0edd8d	-	calibre (2.1.0) [http://calibre-ebook.com]	2012-06-04T22:00:00+00:00
