103544	10730	fr-FR	Jules Verne	Cinq semaines en ballon	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335007985	epub	Jules Verne	2014-07-21
9995	2065	fr-FR	Denis Diderot	Ceci n'est pas un conte	-	Nouvelles, contes	-	Copyright © 2014-09-09 Ilivri	-	ILIVRI	id00053	epub	Denis Diderot	2014-09-09
66919	9181	fr-FR	Jules Verne	Les Cinq cents millions de la Bégum	-	-	-	Copyright © 2015 Ilivri	-	ILIVRI	9782335062830	epub	-	2015
12272	2686	fr-FR	Honoré de Balzac	Le Chef-d'œuvre inconnu - Études philosophiques	-	-	-	Copyright © 2016 Ilivri	-	ILIVRI	id02784	epub	-	2016
70998	9695	fr-FR	Théophile Gautier	Le Roman de la momie	-	Jeunesse	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012729	epub	Théophile Gautier	2014-07-21
62665	6770	fr-FR	Gaston Leroux	Le Fauteuil hanté	-	Policier, mystère	-	Copyright © 2014-11-28 Ilivri	-	ILIVRI	9782335046311	epub	Gaston Leroux	2014-11-28
1919	701	fr-FR	Guy de Maupassant	Magnétisme	-	Nouvelles, contes	-	Copyright © 2015-02-27 Ilivri	-	ILIVRI	id02156	epub	Guy de Maupassant	2015-02-27
100974	12649	fr-FR	Raymond Roussel	Impressions d’Afrique	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335003833	epub	Raymond Roussel	2014-07-21
50563	7140	fr-FR	Guy de Maupassant	L'Inutile Beauté	-	-	-	Copyright © 2016 Ilivri	-	ILIVRI	id01783	epub	-	2016
104854	13249	fr-FR	Alphonse Daudet	Numa Roumestan - Mœurs parisiennes	-	Romans	-	Copyright © 2015-09-30 Ilivri	-	ILIVRI	id02971	epub	Alphonse Daudet	2015-09-30
18695	3393	fr-FR	Alfred de Musset	La Mouche	-	-	-	Copyright © 2016 Ilivri	-	ILIVRI	id03540	epub	-	2016
95279	10122	fr-FR	Gaston Leroux	Mister Flow	-	Policier, mystère	-	Copyright © 2014-11-28 Ilivri	-	ILIVRI	9782335046328	epub	Gaston Leroux	2014-11-28
152211	12648	fr-FR	Jules Verne	Mistress Branican	-	Romans	-	Copyright © 2015-08-31 Ilivri	-	ILIVRI	id02911	epub	Jules Verne	2015-08-31
119065	15035	fr-FR	Gustave Flaubert	Bouvard et Pécuchet	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335005493	epub	Gustave Flaubert	2014-07-21
72309	6250	fr-FR	Comtesse de Ségur	La Soeur de Gribouille	-	Romans	-	Copyright © 2014-12-05 Ilivri	-	ILIVRI	id01518	epub	Sophie Rostopchine	2014-12-05
42133	4514	fr-FR	Nicolas Machiavel	Le Prince	-	Philosophie	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335008128	epub	Nicolas Machiavel	2014-07-21
26372	4441	fr-FR	Romain Rolland	Pierre et Luce	-	Romans	-	Copyright © 2015-02-27 Ilivri	-	ILIVRI	9782335063134	epub	Romain Rolland	2015-02-27
13092	2806	fr-FR	François-René de Chateaubriand	René	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335032697	epub	François-René de Chateaubriand	2014-07-21
