0	0	es-ES	Hipócrates	Hipocrates. Aforismos y sentencias	-	Salud y bienestar	-	-	-	-	-	-	-	2016-07-13T22:00:00+00:00
38573	5537	es-ES	Anne Oliver	Rendirse al deseo	-	Romántico	-	-	-	-	-	-	MT Color & Diseño S.L.	2015-12-31T23:00:00+00:00
35271	5321	es-ES	Anne Oliver	Seducida por su ex	-	Novela	-	-	-	-	-	-	-	2015-06-20T22:00:00+00:00
2866	1093	es-ES	Emilia Serrano, baronesa de Wilson	Pedro Barrera	-	Realista	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003441878	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:3120	-	Pablo Barrio Aller	2015-11-13T00:00:00+00:00
2480	971	es-ES	Emilia Serrano, baronesa de Wilson	Historia de un retrato	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003448691	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13768	-	Pablo Barrio Aller	2017-04-04T00:00:00+00:00
1659	722	es-ES	Emilia Serrano, baronesa de Wilson	La mujer pedante	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003445220	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14087	-	Pablo Barrio Aller	2015-12-21T00:00:00+00:00
1924	808	es-ES	Emilia Serrano, baronesa de Wilson	La condesita	-	Realista	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003441444	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:3121	-	Pablo Barrio Aller	2015-07-24T00:00:00+00:00
2719	1012	es-ES	Emilia Serrano, baronesa de Wilson	El aderezo de perlas	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003446392	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14079	-	Pablo Barrio Aller	2016-03-18T00:00:00+00:00
2547	979	es-ES	Emilia Serrano, baronesa de Wilson	Castillos en el aire	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003448354	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14262	-	Pablo Barrio Aller	2016-05-03T00:00:00+00:00
1758	734	es-ES	Emilia Serrano, baronesa de Wilson	¡Un millón!	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003445710	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14379	-	Pablo Barrio Aller	2015-09-09T00:00:00+00:00
2720	1040	es-ES	Emilia Serrano, baronesa de Wilson	El cortijo del Sol	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0003441040&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14040	-	Pablo Barrio Aller	2015-03-08T00:00:00+00:00
2241	865	es-ES	Emilia Serrano, baronesa de Wilson	Ocho días en el campo	-	Relato	http://hemerotecadigital.bne.es/details.vm?q=id:0003446501	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13559	-	Pablo Barrio Aller	2016-04-14T00:00:00+00:00
2587	1024	es-ES	Emilia Serrano, baronesa de Wilson	Carmelita	-	Romántico	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003448634	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:70638	-	Pablo Barrio Aller	2016-06-22T00:00:00+00:00
1636	703	es-ES	Emilia Serrano, baronesa de Wilson	La mesa nupcial	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003446251	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13521	-	Pablo Barrio Aller	2016-02-19T00:00:00+00:00
2529	986	es-ES	Emilia Serrano, baronesa de Wilson	Almeraya	-	Relato	http://hemerotecadigital.bne.es/details.vm?q=id:0003441111&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13308	-	Pablo Barrio Aller	2015-04-21T00:00:00+00:00
2415	976	es-ES	Emilia Serrano, baronesa de Wilson	El pastor de Barbastro	-	Bélico	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003460620	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:3118	-	Pablo Barrio Aller	2017-05-24T00:00:00+00:00
2802	1018	es-ES	Emilia Serrano, baronesa de Wilson	Pedro y José	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003447649	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14227	-	Pablo Barrio Aller	2016-11-04T00:00:00+00:00
2499	981	es-ES	Emilia Serrano, baronesa de Wilson	La taberna del grumete	-	Realista	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003447447	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:3122	-	Pablo Barrio Aller	2017-09-02T00:00:00+00:00
2801	1092	es-ES	Emilia Serrano, baronesa de Wilson	Francisco	-	Relato	http://hemerotecadigital.bne.es/details.vm?q=id:0003446150	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13961	-	Pablo Barrio Aller	2016-01-21T00:00:00+00:00
38960	5801	es-ES	Joss Wood	Conquistando al jefe	-	Romántico	-	-	-	-	-	-	MT Color & Diseño S.L.	2016-06-15T11:12:05+00:00
64744	9123	es-ES	Brandon Sanderson	Las lentes fragmentadas	-	Novela	-	WORLD ALL LANGUAGES	-	-	-	-	-	2010-11-30T23:00:00+00:00
58603	8101	es-ES	Susan Kearney	Esclava del amor	-	Romántico	-	-	-	-	-	-	-	2015-03-09T23:00:00+00:00
2240	955	es-ES	Emilio Gutiérrez Gamero	Bedullito	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0003196743&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13574	-	Pablo Barrio Aller	2011-07-19T00:00:00+00:00
3497	1435	es-ES	Emilio Gutiérrez Gamero	A caza de gangas	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001189512&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13753	-	Pablo Barrio Aller	2010-09-15T00:00:00+00:00
2456	969	es-ES	Emilio Gutiérrez Gamero	El lobanillo	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0000461579&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14036	-	Pablo Barrio Aller	2010-07-07T00:00:00+00:00
2662	1169	es-ES	Emilio Gutiérrez Gamero	La penúltima	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001206188&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13429	-	Pablo Barrio Aller	2011-05-03T00:00:00+00:00
3076	1242	es-ES	Emilio Gutiérrez Gamero	Pañizosa (Cuento vulgar)	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001187034&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:3123	-	Pablo Barrio Aller	2010-10-20T00:00:00+00:00
3219	1320	es-ES	Emilio Gutiérrez Gamero	A la vida privada	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001192431	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13587	-	Pablo Barrio Aller	2017-03-29T00:00:00+00:00
6837	2312	es-ES	Emilio Gutiérrez Gamero	¡Abajo lo existente!	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0000917555&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14268	-	Pablo Barrio Aller	2010-07-14T00:00:00+00:00
2106	925	es-ES	Emilio Gutiérrez Gamero	Las mantas de Palencia	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001203453&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13788	-	Pablo Barrio Aller	2010-12-14T00:00:00+00:00
1894	838	es-ES	Emilio Gutiérrez Gamero	La tizona de Alvar Fáñez	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001206486&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14363	-	Pablo Barrio Aller	2011-03-14T00:00:00+00:00
3593	1436	es-ES	Emilio Gutiérrez Gamero	Polín de Navajas	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001189955&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13881	-	Pablo Barrio Aller	2010-11-29T00:00:00+00:00
5310	1810	es-ES	Fernando Martínez Pedrosa	La deuda flotante	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001473938	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14183	-	Pablo Barrio Aller	2016-04-07T00:00:00+00:00
4831	1724	es-ES	Fernando Martínez Pedrosa	La mesa redonda	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001472878	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14369	-	Pablo Barrio Aller	2016-07-25T00:00:00+00:00
3329	1349	es-ES	Fernando Martínez Pedrosa	Función de Morondanga	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001476964	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13819	-	Pablo Barrio Aller	2016-05-13T00:00:00+00:00
4719	1688	es-ES	Fernando Martínez Pedrosa	La corrida	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001469136	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14428	-	Pablo Barrio Aller	2016-03-15T00:00:00+00:00
1987	860	es-ES	Fernando Martínez Pedrosa	Neurosia	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001501154	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13968	-	Pablo Barrio Aller	2016-01-29T00:00:00+00:00
43737	6116	es-ES	Kristi Gold	Besar a un extraño	-	Romántico	-	-	-	-	-	-	-	2015-04-14T22:00:00+00:00
