2259	1219	ar	كامل كيلاني	أَرْنَبٌ فِي الْقَمَرِ	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:ee4e9e98-e2a6-4a1c-a49b-a89087a9767c	-	-	٢٠١١
17940	7821	ar	عباس محمود العقاد	شاعر الغزل عمر بن أبي ربيعة	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:2b21464c-ca65-4653-af08-48f6417810b3	-	-	٢٠١٤
26955	7766	ar	د. إيمون باتلر	المدرسة النمساوية في الاقتصاد	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:bd4e4eea-e793-4a2f-baa7-578fc23de21d	-	-	٢٠١٣
31370	11086	ar	كامل كيلاني	جُحَا فِي بِلَادِ الْجِنِّ	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:aa8c8fd5-58b0-481b-9530-696a9039bf98	-	-	٢٠١٧
37870	11571	ar	مارك دودجسون وديفيد جان	الابتكار	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:ce2e74f6-d42d-45bf-9cca-90666304e9a4	-	-	٢٠١٤
104204	27262	ar	كوري دوكتورو	الأخ الأصغر	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:4c02e725-c439-4dd9-9e25-20f5d58cb72e	-	-	٢٠١٤
39958	13393	ar	جوليان ستالابراس	الفن المعاصر	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:53758fbf-167b-474c-9800-168bebb804f4	-	-	٢٠١٤
22890	9368	ar	شوقي عبد الحكيم	سارة وهاجر	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:6cbe8c15-8750-426b-aed8-e4dc8d612ab5	-	-	٢٠١٦
10251	4222	ar	محمد مندور	الديمقراطية السياسية	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:c91ad8b3-d0eb-4052-9c27-0ad7f89a03b7	-	-	٢٠١٨
45823	13847	ar	محمد رشيد رضا	الخلافة	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:f980ede6-e448-4bf5-b091-0fb9f38f08a7	-	-	٢٠١٣
9932	5160	ar	كامل كيلاني	الْمَلِك لِيرْ	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:a7c571dc-38a0-4efe-9f46-a3ed40bb20d9	-	-	٢٠١١
16121	10677	ar	ناصيف اليازجي	فاكهة الندماء في مراسلات الأدباء	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:5e1660fc-4901-4a10-bb16-18182f62198b	-	-	٢٠١٥
19448	8410	ar	إلياس أبو شبكة	الرسوم	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:700baf67-734e-481a-97f2-26e25a40d84c	-	-	٢٠١٥
43005	15445	ar	يوسف إدريس	عن عمد … اسمع تسمع‎	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:5b911de4-02c9-4bda-8e4b-57fd9a55ecbd	-	-	٢٠١٨
71813	20402	ar	فرانسيس بيكون	الأورجانون الجديد	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:5c57fb0e-3700-45b6-a26a-f13834a65755	-	-	٢٠١٨
26046	10299	ar	أحمد ع. الحضري	الفأر في المتاهة	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:aa19d2ae-e264-42f2-b0c1-99a86aa482ca	-	-	٢٠١٦
48282	12401	ar	بونسون دو ترايل	انتقام باكارا	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:63a4498c-aba7-4687-9ba7-6073323b1d43	-	-	٢٠١٣
20531	7822	ar	نجيب أشعيا	في ظلال الحقيقة	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:aef282ab-198b-4651-b8ce-f3a755612c3e	-	-	٢٠١٥
52173	19128	ar	شاهين مكاريوس	تاريخ الإسرائيليين	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:49005fd6-62bc-4e9c-a709-752f9a161625	-	-	٢٠١٦
35728	8010	ar	بيتر إم هيجنز	الأعداد	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:3dd85a07-e219-4c1c-abfa-0601379a71db	-	-	٢٠١٧
13407	4517	ar	ثورنتون دبليو برجس	مُغَامَرَاتُ بريكلي بوركي	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:8b24d3e6-029e-459d-88fe-36b833379416	-	-	٢٠١٧
18882	9849	ar	طه حسين	صوت أبي العلاء	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:97222963-ff85-462c-be42-c374d0ca1ee2	-	-	٢٠١٤
25827	8813	ar	إسماعيل مظهر	في النقد الأدبي	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:d5c131ce-1d33-4859-ad99-af6dc649e935	-	-	٢٠١٤
6922	3327	ar	روديارد كبلينج	لاسلكيًّا	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:2314e18c-604c-460e-9a7a-5b8f6104e025	-	-	٢٠١٨
29034	10490	ar	عباس محمود العقاد	روح عظيم المهاتما غاندي	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:ffb86de1-e144-48e8-bb0c-675e0d57e9a3	-	-	٢٠١٤
6597	3186	ar	علي ماهر	جبهة مصر	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:4274fd01-a48d-4fc0-8554-e0a54d3c9b01	-	-	٢٠١٧
4900	2383	ar	أمين الريحاني	وفاء الزمان	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:b5e5d51e-b238-4416-afe3-db9d2e16f207	-	-	٢٠١٢
53168	17105	ar	مصطفى لطفي المنفلوطي	ماجدولين	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:59753236-871c-4b5d-ad31-ad67810a35d8	-	-	٢٠١٤
89558	23125	ar	أليس مونرو	حياتي العزيزة	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:11fd31f4-a025-4f20-a945-ae2e33a73d60	-	-	٢٠١٧
44100	12018	ar	طه حسين	الشيخان	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:2bee4e8e-2590-4af4-a9f9-a02157bb75b6	-	-	٢٠١٣
8822	3160	ar	شوقي عبد الحكيم	حسن ونعيمة	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:bf5c62ab-f9b5-4ceb-980d-84e218f4ff2a	-	-	٢٠١٧
65664	22424	ar	شوقي عبد الحكيم	الحكايات الشعبية العربية	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:f803681b-8293-43fe-9f1d-044654a57252	-	-	٢٠١٧
38232	14265	ar	عباس محمود العقاد	فرنسيس باكون	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:6eab6490-a035-4108-8d81-5d967442ab30	-	-	٢٠١٤
4589	2236	ar	روث نستفولد	الخروج دون حفظ	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:a362d238-dd42-4f09-bec7-144c9150b58e	-	-	٢٠١٤
20856	8048	ar	عباس محمود العقاد	الصدِّيقة بنت الصدِّيق	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:a8adb773-cc4d-49ca-a531-1287c39c3a32	-	-	٢٠١٤
6561	3224	ar	أحمد شوقي	الست هدى	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:0cd7bfe8-9cad-45e6-9891-cf526840b220	-	-	٢٠١٦
4033	2204	ar	إدوارد بيدج ميتشل	تجربة البروفيسور	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:60c9ed09-7fc9-4130-90be-12d6537401fd	-	-	٢٠١٨
42335	11927	ar	ديفيد نورمان	الديناصورات	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:b34e8e99-5d25-4628-ad66-4f30db0da62c	-	-	٢٠١٦
21459	8992	ar	أحمد فارس الشدياق	الواسطة في معرفة أحوال مالطة	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:c1cfd73c-44a2-4071-b68b-478e84b68cf8	-	-	٢٠١٤
