227942	13429	fr	Stendhal	La Chartreuse de Parme	-	Essai	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335003970	epub	-	2014
10278	3136	fr	Rimbaud Arthur	Illuminations	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335005554	epub	-	2014
260512	15608	fr	Verne, Jules	L’Île mystérieuse	-	XIXe siècle	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335007541	epub	-	2014
294220	15479	fr	Dumas, Alexandre	Les Trois Mousquetaires	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335007503	epub	-	2014
77985	8188	fr	Inconnu(e)	Histoire du Canada (1944) 5	-	-	-	-	-	-	urn:uuid:E53C0488-6C6E-1014-82F7-F282F11DF81E	-	-	2013-04-30T20:24:41Z
51854	6055	fr	Jean-Jacques Rousseau	Discours sur l’origine et les fondements de l’inégalité parmi les hommes	-	Philosophie	-	Copyright © 2012 Ilivri	-	ILIVRI	9782335000108	epub	-	2012
171402	12133	fr	Zola Emile	La Bête humaine	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004854	epub	-	2014
50982	6006	fr	Anonyme,	Tristan et Yseult	-	Moyen Age	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335015195	epub	Anonyme	2014
58081	7436	fr	Wenceslas-Eugène Dick	Un drame au Labrador	-	-	-	-	-	La Bibliothèque électronique du Québec	urn:uuid:FBEF88ED-6F4B-1014-BFCE-8330E2CF2FA3	-	-	2015-08-01T12:37:56Z
20241	2572	fr	Marivaux	Le Jeu de l’amour et du hasard	-	Théâtre	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004656	epub	-	2014
21987	2978	fr	Molière	Le Misanthrope	-	Littérature, Théâtre	-	Copyright © 2012 Ilivri	-	ILIVRI	9782335000184	epub	-	2012
251318	15457	fr	Zola, Emile	La Débâcle	-	-	-	Copyright © 2015 Ilivri	-	ILIVRI	9782335004915	epub	-	2015
29667	4859	fr	Inconnu(e)	Histoires de loups-garous	-	-	-	-	-	-	urn:uuid:CD5B92B2-6C6D-1014-8C19-E23F05AA09A5	-	-	2013-04-30T20:19:13Z
156428	11959	fr	Zola, Emile	La Joie de vivre	-	-	-	Copyright © 2015 Ilivri	-	ILIVRI	9782335004977	epub	-	2015
17177	4428	fr	Gautier Théophile	Émaux et Camées	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004618	epub	-	2014
220352	15029	fr	Zola Emile	Germinal	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004779	epub	-	2014
48014	5565	fr	de Musset Alfred	Lorenzaccio	-	Théâtre	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004175	epub	-	2014
209008	13793	fr	Zola Émile	L’Assommoir	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004816	epub	-	2014
154134	12395	fr	Zola, Emile	La faute de l’abbé Mouret	-	-	-	Copyright © 2015 Ilivri	-	ILIVRI	9782335004939	epub	-	2015
191694	14437	fr	Émile Zola	L'Argent	-	XIXe siècle	-	Copyright © 2013 Ilivri	-	ILIVRI	9782335004793	epub	Émile Zola	2013
54903	8989	fr	Paul Verlaine	Oeuvres complètes	-	Littérature, Poèmes	-	Copyright © 2012 Ilivri	-	ILIVRI	9782335000160	epub	-	2012
58438	6790	fr	Inconnu(e)	Maria Chapdelaine	-	-	-	-	-	-	urn:uuid:4E90B37A-6C6F-1014-8723-B6E01A17A375	-	-	2013-04-30T20:26:44Z
45756	5260	fr	Inconnu(e)	La fille du brigand	-	-	-	-	-	-	urn:uuid:AEA4494A-6C6F-1014-8A30-F9826DDF5F67	-	-	2013-04-30T20:28:37Z
8820	1728	fr	Molière	Les Précieuses Ridicules	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335000375	epub	-	2014
35171	5454	fr	Inconnu(e)	Histoire du Canada (1944) 9	-	-	-	-	-	-	urn:uuid:FAA74FD2-6C6E-1014-9927-F2DB7EB3BA55	-	-	2013-04-30T20:25:06Z
78758	10365	fr	Théophile Gautier	La belle Jenny	-	Romans	-	Copyright © 2014-05-07 Ilivri	-	ILIVRI	9782335046366	epub	Théophile Gautier	2014-05-07
17951	3183	fr	Racine Jean	Phèdre	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335005196	epub	-	2014
41020	5030	fr	Beaumarchais	Le Mariage de Figaro	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335002171	epub	-	2014
80400	7387	fr	Denis Diderot	La Religieuse	-	Littérature, Roman	-	Copyright © 2012 Ilivri	-	ILIVRI	9782335000023	epub	-	2012
35053	4667	fr	Pierre Loti	Fantôme d’orient	-	Romans	-	Copyright © 2014-04-30 Ilivri	-	ILIVRI	9782335002997	epub	Pierre Loti	2014-04-30
66947	8870	fr	Hugo Victor	La Légende des siècles Tome II	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004458	epub	-	2014
168541	15955	fr	Victor Hugo	Les Travailleurs de la mer	-	Littérature, Roman	-	Copyright © 2012 Ilivri	-	ILIVRI	9782335000030	epub	-	2012
12477	2959	fr	de Maupassant Guy	La Maison Tellier	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335003536	epub	-	2014
54521	6742	fr	Inconnu(e)	Les Ribaud, une idylle de 37	-	-	-	-	-	-	urn:uuid:814F1EFC-6C6D-1014-89AC-8D2CA1DE68A6	-	-	2013-04-30T20:17:44Z
77985	8188	fr	Inconnu(e)	Histoire du Canada (1944) 5	-	-	-	-	-	-	urn:uuid:E53C0488-6C6E-1014-82F7-F282F11DF81E	-	-	2013-04-30T20:24:41Z
145213	12480	fr	Zola Emile	Le Ventre de Paris	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335005059	epub	-	2014
22571	3139	fr	Molière	Le Tartuffe ou l’Imposteur	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004311	epub	-	2014
55737	8054	fr	de Vigny Alfred	Oeuvres complètes Tome I	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004717	epub	-	2014
72883	6307	fr	Madame de Sévigné	Lettres choisies de Mme de Sévigné	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335007565	epub	-	2014
10095	3011	fr	Mallarmé Stéphane	Poésies	-	-	-	Copyright © 2015 Ilivri	-	ILIVRI	9782335003512	epub	-	2015
75605	5977	fr	George Sand	La Petite Fadette	-	Jeunesse	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335005219	epub	-	2014
20275	2918	fr	Corneille, Pierre	Horace	-	Moderne (1799)	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335007787	epub	-	2014
181986	12814	fr	Zola, Emile	Pot-Bouille	-	-	-	Copyright © 2015 Ilivri	-	ILIVRI	9782335005134	epub	-	2015
107726	10018	fr	Daudet, Alphonse	Le Petit Chose	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335007817	epub	-	2014
34065	6461	fr	Baudelaire Charles	Le Spleen de Paris	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335005370	epub	-	2014
36876	5433	fr	Inconnu(e)	Le mariage blanc d’Armandine	-	-	-	-	-	-	urn:uuid:586E6C81-6C6D-1014-A9BE-888620F20850	-	-	2013-04-30T20:16:56Z
44344	6343	fr	de Maupassant, Guy	Le Rosier de madame Husson	-	XIXe siècle	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335007855	epub	-	2014
42355	5719	fr	Diderot	Le Neveu de Rameau	-	Dialogue	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335000559	epub	-	2014
25709	3388	fr	Molière	Le Bourgeois gentilhomme	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004274	epub	-	2014
151765	11419	fr	Zola, Emile	La Conquête de Plassans	-	XIXe siècle	-	Copyright © 2015 Ilivri	-	ILIVRI	9782335004878	epub	-	2015
90213	9550	fr	Zola, Emile	Le Rêve	-	XIXe siècle	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335005035	epub	-	2014
9741	2472	fr	Arthur Rimbaud	Une saison en enfer	-	Littérature, Poèmes	-	Copyright © 2012 Ilivri	-	ILIVRI	9782335000146	epub	-	2012
74421	4541	fr	Madame de Lafayette	La Princesse de Clèves - ROMANS, LETTRES ET NOUVELLES.	-	Roman	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335005530	epub	-	2014
150795	14090	fr	Hugo Victor	Quatrevingt-treize	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335002799	epub	-	2014
125212	13198	fr	de Balzac Honoré	Le Lys dans la vallée	-	-	-	Copyright 2014 ILIVRI. All rights reserved.	-	ILIVRI	9782335005615	epub	-	2014
35363	5570	fr	Wenceslas-Eugène Dick	Les pirates du golfe Saint-Laurent	-	-	-	-	-	La Bibliothèque électronique du Québec	urn:uuid:06A4D169-6F4C-1014-BD6B-89DA47B1DF37	-	-	2015-08-01T12:38:08Z
21169	2916	fr	Corneille Pierre	Le Cid	-	Théâtre	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004557	epub	-	2014
115903	15259	fr	Théophile Gautier	Caprices et zigzags	-	Nouvelles	-	Copyright © 2014-05-07 Ilivri	-	ILIVRI	9782335046359	epub	Théophile Gautier	2014-05-07
11667	1899	fr	Molière	Le Médecin malgré lui	-	Essai	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004212	epub	-	2014
